file,rec,timestamp,mac,target,event,rssi,ad_hex,name,uuids16,mfg_hex,mfg_company
old/hci_snoop_2018_01_01_12_06_26.cfa,1890,2018-01-01T12:08:08.904Z,f4:d0:00:00:02:1a,no,ADV_IND,-69,02 01 06 03 02 F0 FF 15 FF 1B 00 00 00 1A 02 00 00 D0 F4 E8 0B 4A 01 90 04 B4 FB 03 00,,FFF0,1B 00 00 00 1A 02 00 00 D0 F4 E8 0B 4A 01 90 04 B4 FB 03 00,0x001B
old/hci_snoop_2018_01_01_12_06_26.cfa,1902,2018-01-01T12:08:09.426Z,f4:db:00:00:02:37,no,ADV_IND,-90,02 01 06 03 02 F0 FF 15 FF 1B 00 00 00 37 02 00 00 DB F4 D6 0B 36 01 C4 04 85 73 05 00,,FFF0,1B 00 00 00 37 02 00 00 DB F4 D6 0B 36 01 C4 04 85 73 05 00,0x001B
old/hci_snoop_2018_01_01_12_06_26.cfa,1916,2018-01-01T12:08:10.241Z,62:53:00:00:0f:1f,no,ADV_IND,-79,02 01 06 03 02 F0 FF 15 FF 11 00 00 00 1F 0F 00 00 53 62 88 0B 45 01 23 05 DB B3 05 00,,FFF0,11 00 00 00 1F 0F 00 00 53 62 88 0B 45 01 23 05 DB B3 05 00,0x0011
old/hci_snoop_2018_01_01_12_06_26.cfa,1923,2018-01-01T12:08:10.598Z,f4:d0:00:00:02:1a,no,ADV_IND,-65,02 01 06 03 02 F0 FF 15 FF 1B 00 00 00 1A 02 00 00 D0 F4 E8 0B 4A 01 90 04 B6 FB 03 00,,FFF0,1B 00 00 00 1A 02 00 00 D0 F4 E8 0B 4A 01 90 04 B6 FB 03 00,0x001B
old/hci_snoop_2018_01_01_12_06_26.cfa,1933,2018-01-01T12:08:11.086Z,62:53:00:00:0f:1f,no,ADV_IND,-80,02 01 06 03 02 F0 FF 15 FF 11 00 00 00 1F 0F 00 00 53 62 87 0B 45 01 23 05 DC B3 05 00,,FFF0,11 00 00 00 1F 0F 00 00 53 62 87 0B 45 01 23 05 DC B3 05 00,0x0011
old/hci_snoop_2018_01_01_12_06_26.cfa,1935,2018-01-01T12:08:11.119Z,f4:db:00:00:02:37,no,ADV_IND,-89,02 01 06 03 02 F0 FF 15 FF 1B 00 00 00 37 02 00 00 DB F4 D6 0B 36 01 C4 04 86 73 05 00,,FFF0,1B 00 00 00 37 02 00 00 DB F4 D6 0B 36 01 C4 04 86 73 05 00,0x001B
old/hci_snoop_2018_01_01_12_06_26.cfa,1942,2018-01-01T12:08:11.445Z,f4:d0:00:00:02:1a,no,ADV_IND,-65,02 01 06 03 02 F0 FF 15 FF 1B 00 00 00 1A 02 00 00 D0 F4 E8 0B 4A 01 90 04 B7 FB 03 00,,FFF0,1B 00 00 00 1A 02 00 00 D0 F4 E8 0B 4A 01 90 04 B7 FB 03 00,0x001B
old/hci_snoop_2018_01_01_12_06_26.cfa,1986,2018-01-01T12:08:13.627Z,62:53:00:00:0f:1f,no,ADV_IND,-81,02 01 06 03 02 F0 FF 15 FF 11 00 00 00 1F 0F 00 00 53 62 87 0B 45 01 23 05 DE B3 05 00,,FFF0,11 00 00 00 1F 0F 00 00 53 62 87 0B 45 01 23 05 DE B3 05 00,0x0011
old/hci_snoop_2018_01_01_12_06_26.cfa,1988,2018-01-01T12:08:13.660Z,f4:db:00:00:02:37,no,ADV_IND,-90,02 01 06 03 02 F0 FF 15 FF 1B 00 00 00 37 02 00 00 DB F4 D6 0B 36 01 C4 04 89 73 05 00,,FFF0,1B 00 00 00 37 02 00 00 DB F4 D6 0B 36 01 C4 04 89 73 05 00,0x001B
old/hci_snoop_2018_01_01_12_06_26.cfa,1996,2018-01-01T12:08:13.986Z,f4:d0:00:00:02:1a,no,ADV_IND,-64,02 01 06 03 02 F0 FF 15 FF 1B 00 00 00 1A 02 00 00 D0 F4 E8 0B 4A 01 90 04 B9 FB 03 00,,FFF0,1B 00 00 00 1A 02 00 00 D0 F4 E8 0B 4A 01 90 04 B9 FB 03 00,0x001B
old/hci_snoop_2018_01_01_12_06_26.cfa,2004,2018-01-01T12:08:14.478Z,62:53:00:00:0f:1f,no,ADV_IND,-79,02 01 06 03 02 F0 FF 15 FF 11 00 00 00 1F 0F 00 00 53 62 87 0B 45 01 23 05 DF B3 05 00,,FFF0,11 00 00 00 1F 0F 00 00 53 62 87 0B 45 01 23 05 DF B3 05 00,0x0011
old/hci_snoop_2018_01_01_12_06_26.cfa,2014,2018-01-01T12:08:14.834Z,f4:d0:00:00:02:1a,no,ADV_IND,-65,02 01 06 03 02 F0 FF 15 FF 1B 00 00 00 1A 02 00 00 D0 F4 E8 0B 4A 01 90 04 BA FB 03 00,,FFF0,1B 00 00 00 1A 02 00 00 D0 F4 E8 0B 4A 01 90 04 BA FB 03 00,0x001B
old/hci_snoop_2018_01_01_12_06_26.cfa,2024,2018-01-01T12:08:15.355Z,f4:db:00:00:02:37,no,ADV_IND,-81,02 01 06 03 02 F0 FF 15 FF 1B 00 00 00 37 02 00 00 DB F4 D7 0B 36 01 C4 04 8B 73 05 00,,FFF0,1B 00 00 00 37 02 00 00 DB F4 D7 0B 36 01 C4 04 8B 73 05 00,0x001B
old/hci_snoop_2018_01_01_12_06_26.cfa,2038,2018-01-01T12:08:16.202Z,f4:db:00:00:02:37,no,ADV_IND,-81,02 01 06 03 02 F0 FF 15 FF 1B 00 00 00 37 02 00 00 DB F4 D7 0B 36 01 C4 04 8C 73 05 00,,FFF0,1B 00 00 00 37 02 00 00 DB F4 D7 0B 36 01 C4 04 8C 73 05 00,0x001B
old/hci_snoop_2018_01_01_12_06_26.cfa,2045,2018-01-01T12:08:16.531Z,f4:d0:00:00:02:1a,no,ADV_IND,-67,02 01 06 03 02 F0 FF 15 FF 1B 00 00 00 1A 02 00 00 D0 F4 E8 0B 4A 01 90 04 BC FB 03 00,,FFF0,1B 00 00 00 1A 02 00 00 D0 F4 E8 0B 4A 01 90 04 BC FB 03 00,0x001B
old/hci_snoop_2018_01_01_12_06_26.cfa,2061,2018-01-01T12:08:17.377Z,f4:d0:00:00:02:1a,no,ADV_IND,-68,02 01 06 03 02 F0 FF 15 FF 1B 00 00 00 1A 02 00 00 D0 F4 E8 0B 4A 01 90 04 BD FB 03 00,,FFF0,1B 00 00 00 1A 02 00 00 D0 F4 E8 0B 4A 01 90 04 BD FB 03 00,0x001B
old/hci_snoop_2018_01_01_12_06_26.cfa,2087,2018-01-01T12:08:18.743Z,f4:db:00:00:02:37,no,ADV_IND,-82,02 01 06 03 02 F0 FF 15 FF 1B 00 00 00 37 02 00 00 DB F4 D7 0B 36 01 C4 04 8E 73 05 00,,FFF0,1B 00 00 00 37 02 00 00 DB F4 D7 0B 36 01 C4 04 8E 73 05 00,0x001B
